"Label","Alaska!!Estimate","Alaska!!Margin of Error"
"Total:","731,545","*****"
"    Not Hispanic or Latino:","678,997","±110"
"        White alone","437,714","±2,139"
"        Black or African American alone","21,773","±1,790"
"        American Indian and Alaska Native alone","113,467","±3,892"
"        Asian alone","43,322","±2,462"
"        Native Hawaiian and Other Pacific Islander alone","9,715","±795"
"        Some other race alone","2,096","±2,042"
"        Two or more races:","50,910","±5,094"
"            Two races including Some other race","672","±644"
"            Two races excluding Some other race, and three or more races","50,238","±4,990"
"    Hispanic or Latino:","52,548","±110"
"        White alone","32,057","±3,295"
"        Black or African American alone","778","±492"
"        American Indian and Alaska Native alone","2,077","±684"
"        Asian alone","356","±323"
"        Native Hawaiian and Other Pacific Islander alone","208","±246"
"        Some other race alone","10,506","±2,917"
"        Two or more races:","6,566","±1,793"
"            Two races including Some other race","1,919","±679"
"            Two races excluding Some other race, and three or more races","4,647","±1,642"
