"Label","Alaska!!Estimate","Alaska!!Margin of Error"
"Total:","731,545","*****"
"    Population of one race:","674,069","±5,446"
"        White","469,771","±4,147"
"        Black or African American","22,551","±1,965"
"        American Indian and Alaska Native","115,544","±3,935"
"        Asian","43,678","±2,428"
"        Native Hawaiian and Other Pacific Islander","9,923","±834"
"        Some other race","12,602","±3,697"
"    Population of two or more races:","57,476","±5,446"
"        Two races including Some other race","2,591","±923"
"        Two races excluding Some other race, and three or more races","54,885","±5,220"
"        Population of two races:","52,415","±5,084"
"            White; Black or African American","7,397","±1,903"
"            White; American Indian and Alaska Native","24,557","±3,582"
"            White; Asian","11,989","±2,347"
"            Black or African American; American Indian and Alaska Native","1,208","±762"
"            All other two race combinations","7,264","±1,846"
"        Population of three races","4,581","±1,535"
"        Population of four or more races","480","±429"
